DATE,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JM,L,M,MA,NI,OI,P,PB,PP,PTA,PVC,RB,RM,RU,SN,SR,Y,ZC,ZN
2017/2/20,-0.000364088,0.334765,-0.22349,0.33976,4.540715296,0.357731,1.384946237,-0.373840445,0.348367,-0.032359679,0.202886175,0.317741771,0.45362,-0.18998,0.459633,0.770125749,0.401163,-0.06131,3.818923,-0.45104,0.055352,,5.840256433,47.33333,0.491532368,,0.2058704,0.919636,1.384946237,0.341413,0.016461,-0.23813
2017/2/21,0.008199354,0.334867,-0.22335,0.339148,4.540715296,0.369374,1.418637993,-0.373840445,0.349075,-0.032359679,0.202886175,0.317741771,0.45362,-0.18998,0.445605,0.770125749,0.401163,-0.05907,3.818923,-0.43422,0.056542,,5.843476479,47.33333,0.491532368,,0.205689772,0.924551,1.418637993,0.425763,0.028351,-0.24071
2017/2/22,0.01212008,0.328653,-0.22321,0.329077,4.540715296,0.369374,1.431133429,-0.373840445,0.365962,-0.032359679,0.202886175,0.317741771,0.45362,-0.18998,0.470885,0.770125749,0.401163,-0.0616,3.75571,-0.43422,0.053227,,6.359904294,40,0.491532368,,0.207270264,0.892095,1.431133429,0.451141,0.000441,-0.24459
2017/2/23,-0.006636606,0.329993,-0.22622,0.31478,4.540715296,0.369374,1.481268012,-0.342105263,0.353534,-0.032359679,0.202886175,0.317741771,0.45362,-0.18998,0.443621,0.770125749,0.434524,-0.06554,3.75571,-0.43987,0.05723,,6.03112712,39.33333,0.491532368,,0.209231882,1.018422,1.481268012,0.449595,-0.01634,-0.24532
2017/2/24,-0.019804767,0.320108,-0.22631,0.316832,4.540715296,0.369374,1.614422369,,0.350067,-0.02720504,0.227649219,0.333027616,0.456448,-0.2299,0.41132,0.770125749,0.483571,-0.08696,3.75571,-0.43987,0.066865,,5.597870438,39.33333,0.479923518,,0.209449674,0.982875,1.614422369,0.456316,-0.03229,-0.24319
2017/2/25,-0.009455962,0.330123,-0.22522,0.316463,4.674875828,0.369374,1.667417417,,0.304365,-0.02720504,0.227649219,0.333027616,0.380697,-0.17329,0.423341,0.770125749,0.483571,-0.08288,3.75571,-0.43987,0.075298,,5.525650948,39.33333,0.479923518,,0.210490556,0.982875,1.667417417,0.4834,-0.0367,-0.23753
2017/2/26,-0.009455962,0.330123,-0.22268,0.316463,4.674875828,0.369374,1.71221374,,0.294292,-0.036312057,0.205618449,0.332213056,0.380697,-0.17329,0.423341,0.320232106,0.483571,-0.08112,4.004486,-0.43987,0.07802,,5.2641955,39.33333,0.371189953,,0.21076477,0.982875,1.71221374,0.4834,-0.01186,-0.23753
2017/2/27,-0.042137424,0.337329,-0.21242,0.316433,4.674875828,0.323751,1.839694656,,0.311121,-0.036312057,0.205618449,0.332213056,0.380697,-0.17329,0.38419,0.53936504,0.483571,-0.08324,3.677829,-0.43987,0.072063,,5.272102526,39.33333,0.371189953,,0.210810076,0.938765,1.839694656,0.479332,-0.02666,-0.2299
2017/2/28,-0.033507706,0.34133,-0.21401,0.316496,4.571399007,0.353465,1.880152672,,0.334258,-0.036312057,0.205618449,0.332213056,0.380697,-0.17329,0.366258,0.53936504,0.483571,-0.08561,3.67871,-0.45847,0.081097,,5.242437911,30,0.371189953,,0.215159478,0.932278,1.880152672,0.486025,-0.01087,-0.22945
2017/3/1,-0.04438245,0.338174,-0.21659,0.312481,4.674875828,0.353465,2.09929078,,0.342529,-0.036312057,0.205618449,0.332213056,0.380697,-0.17329,0.552436,0.53936504,0.483571,-0.08176,3.67871,-0.45847,0.085662,,5.266081481,30,0.371189953,,0.175968283,0.931848,2.09929078,0.551384,-0.00579,-0.22576
2017/3/2,-0.037043236,0.330251,-0.21543,0.318189,3.898356556,0.354503,2.327095199,,0.351776,-0.036312057,0.205618449,0.332213056,0.380697,-0.17329,0.552436,0.53936504,0.483571,-0.07683,3.67871,-0.46383,0.093695,,5.622028614,26.66667,0.371189953,,0.190013083,1.062039,2.327095199,0.621745,0.011792,-0.22178
2017/3/3,-0.030654643,0.338646,-0.21768,0.313806,3.824580207,0.354854,2.54233026,,0.350703,-0.02893617,0.259580713,0.340869742,0.391421,-0.24241,0.532507,0.53936504,0.677057,-0.0795,3.67871,-0.46383,0.105167,,5.719843488,26.66667,0.313281979,,0.196684842,0.989671,2.54233026,0.624847,-0.00936,-0.22046
2017/3/4,-0.037460278,0.344413,-0.22975,0.308411,3.824580207,0.354854,2.684394071,,0.340023,-0.029486816,0.252021339,0.345391375,0.256659,-0.235,0.532507,0.53936504,0.677057,-0.07518,3.67871,-0.41401,0.113005,,5.53713975,26.66667,0.283201706,,0.196006627,0.973578,2.684394071,0.616807,-0.00671,-0.22831
2017/3/5,-0.027894949,0.344413,-0.23268,0.308411,3.824580207,0.354854,2.684394071,,0.314871,-0.029486816,0.252021339,0.345391375,0.256659,-0.235,0.532507,0.527970128,0.677057,-0.06483,3.516567,-0.41401,0.121219,,5.53713975,26.66667,0.283201706,,0.196006627,0.973578,2.684394071,0.616807,-0.01991,-0.22831
