DATE,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JM,L,M,MA,NI,OI,P,PB,PP,PTA,PVC,RB,RM,RU,SN,SR,Y,ZC,ZN
20090527,1.01269666,,1.003560127,0.999807711,,1.000602047,1.023510972,,1.022258862,,,,,,1.004296455,1.017376491,,,0.998690414,1.008269525,,,0.995027786,1.003869969,1.002499306,,1.012002743,,1.001681884,1.002432432,,1.006314128
20090601,1.022349414,,1.011036657,1.033849409,,1.008423586,0.993108729,,1.054032258,,,,,,1.036898396,1.028131279,,,1.04196171,1.051944107,,,1.02851264,1.01310717,1.010249307,,1.047102677,,1.004317582,1.047991372,,1.034509804
20090602,0.996534258,,1.001559454,0.986652404,,0.995823389,1.013492675,,1.013261923,,,,,,0.997937081,1.014983713,,,0.999244903,0.99711233,,,0.991997714,0.997716895,1.002193584,,0.993851133,,1.005732028,0.998713661,,1.00227445
20090603,1.004547887,,1.018295056,1.018995993,,1.001797484,0.997717763,,1.024918198,,,,,,1.017054264,1.023748395,,,1.006801008,1.002027223,,,0.998847594,1.003813883,1.004103967,,1.009443178,,0.994300641,1.022411128,,1.017019667
20090604,0.995739015,,0.993883792,0.98047923,,0.994617225,0.993137629,,0.972003929,,,,,,0.993394309,0.99184953,,,0.989492119,0.981213873,,,0.983559273,0.996200608,1.008174387,,0.98516129,,1.000477669,0.984882842,,0.987355894
20090605,1.004011768,,1.032692308,1.011134176,,0.988574865,0.996545106,,1.040424457,,,,,,1.021994885,1.024020228,,,1.008849558,1.00736377,,,1.002639296,1.01525553,1.015135135,,1.032743942,,1.013845787,1.009721156,,1.018079096
20090608,0.986148109,,0.991806331,0.977136991,,0.98783455,0.99422188,,0.983001457,,,,,,1.004504505,0.995987654,,,0.987468672,0.986549708,,,1.000292483,1.047332832,1.008519702,,0.989537096,,0.995055333,0.987585508,,0.992230855
20090609,1.001080497,,1.008261359,0.998567472,,1.004926108,1.005424254,,1.012351779,,,,,,1.005979073,1.009606446,,,1.003553299,0.969176052,,,0.982748538,1.010043042,0.997624076,,1.005126562,,0.99976337,1.006926629,,1.008202834
20090610,0.992444684,,1.00744879,1.003442999,,0.999387255,1.008092486,,1.018301611,,,,,,1.004457652,0.989257213,,,0.994941831,0.987767584,,,1.002082713,0.992897727,1.007673988,,1.000956328,,0.999289941,0.994649682,,1.013313609
20090611,1.009516041,,0.994824399,0.998284407,,1.003065604,1.008409786,,0.995926192,,,,,,1.000493097,0.918088737,,,0.993390951,0.997832817,,,1.005938242,0.991416309,1.018382353,,0.989490446,,0.994552345,0.988985656,,1.001824818
20090612,0.988149744,,1.000371609,0.997326714,,0.995721271,1.010993177,,0.994947064,,,,,,0.987678659,0.98479216,,,0.9895087,0.985417313,,,1.007674144,0.984126984,0.996389892,,0.978113936,,0.997856633,0.987049987,,1.007650273
20090615,0.996184246,,0.986998514,0.980614589,,0.993861265,1.004499438,,0.961789601,,,,,,0.986526946,1.001029513,,,0.992759245,0.982367758,,,1.008201523,1.005131965,0.996118012,,0.988812109,,0.991408115,0.991603254,,0.976861894
